date,stn,Glo_H_rad_mean
1961-01-28,ATL,141.375
1961-01-28,CHI,101.375
1961-01-28,FW,130.04166666666666
1961-01-28,LA,137.83333333333334
1961-01-28,NEW,137.20833333333334
1961-01-28,SEA,27
1961-01-29,ATL,173.20833333333334
1961-01-29,CHI,110.5
1961-01-29,FW,189.625
1961-01-29,LA,104.79166666666667
1961-01-29,NEW,135.20833333333334
1961-01-29,SEA,25.541666666666668
1961-01-30,ATL,168.83333333333334
1961-01-30,CHI,66.375
1961-01-30,FW,176.29166666666666
1961-01-30,LA,164.16666666666666
1961-01-30,NEW,125.75
1961-01-30,SEA,36.083333333333336
1961-01-31,ATL,164.08333333333334
1961-01-31,CHI,65
1961-01-31,FW,109.20833333333333
1961-01-31,LA,97.79166666666667
1961-01-31,NEW,123.5
1961-01-31,SEA,52.916666666666664
1961-02-01,ATL,119.75
1961-02-01,CHI,58.791666666666664
1961-02-01,FW,164.83333333333334
1961-02-01,LA,131.95833333333334
1961-02-01,NEW,126.875
1961-02-01,SEA,35.5
1961-02-02,ATL,155.375
1961-02-02,CHI,85.16666666666667
1961-02-02,FW,186.41666666666666
1961-02-02,LA,84.66666666666667
1961-02-02,NEW,136.41666666666666
1961-02-02,SEA,83.875
1961-02-03,ATL,75.45833333333333
1961-02-03,CHI,69.41666666666667
1961-02-03,FW,176.04166666666666
1961-02-03,LA,162.45833333333334
1961-02-03,NEW,76.25
1961-02-03,SEA,30.458333333333332
1961-02-04,ATL,185.70833333333334
1961-02-04,CHI,76.29166666666667
1961-02-04,FW,139.66666666666666
1961-02-04,LA,159.95833333333334
1961-02-04,NEW,86.04166666666667
1961-02-04,SEA,38.75
1961-02-05,ATL,191
1961-02-05,CHI,97.95833333333333
1961-02-05,FW,55.5
1961-02-05,LA,170.54166666666666
1961-02-05,NEW,149.04166666666666
1961-02-05,SEA,39.083333333333336
1961-02-06,ATL,78.70833333333333
1961-02-06,CHI,83.54166666666667
1961-02-06,FW,60.708333333333336
1961-02-06,LA,102.625
1961-02-06,NEW,129
1961-02-06,SEA,46.916666666666664
1961-02-07,ATL,57.458333333333336
1961-02-07,CHI,128.58333333333334
1961-02-07,FW,163.75
1961-02-07,LA,158.20833333333334
1961-02-07,NEW,142.95833333333334
1961-02-07,SEA,65.83333333333333
1961-02-08,ATL,87.45833333333333
1961-02-08,CHI,134.91666666666666
1961-02-08,FW,181.125
1961-02-08,LA,147
1961-02-08,NEW,86.20833333333333
1961-02-08,SEA,43.791666666666664
1961-02-09,ATL,144.29166666666666
1961-02-09,CHI,82.625
1961-02-09,FW,181.70833333333334
1961-02-09,LA,158.54166666666666
1961-02-09,NEW,146.79166666666666
1961-02-09,SEA,46.541666666666664
1961-02-10,ATL,195.66666666666666
1961-02-10,CHI,105.20833333333333
1961-02-10,FW,204.875
1961-02-10,LA,164.875
1961-02-10,NEW,117.33333333333333
1961-02-10,SEA,56.541666666666664
1961-02-11,ATL,184.41666666666666
1961-02-11,CHI,70.875
1961-02-11,FW,180.25
1961-02-11,LA,115.29166666666667
1961-02-11,NEW,139.45833333333334
1961-02-11,SEA,46.541666666666664
1961-02-12,ATL,176.375
1961-02-12,CHI,120.08333333333333
1961-02-12,FW,169.5
1961-02-12,LA,182.54166666666666
1961-02-12,NEW,86.125
1961-02-12,SEA,43.208333333333336
1961-02-13,ATL,175
1961-02-13,CHI,71
1961-02-13,FW,158.29166666666666
1961-02-13,LA,121.5
1961-02-13,NEW,104.29166666666667
1961-02-13,SEA,43.583333333333336
1961-02-14,ATL,164.54166666666666
1961-02-14,CHI,134.66666666666666
1961-02-14,FW,70.5
1961-02-14,LA,190.41666666666666
1961-02-14,NEW,130.375
1961-02-14,SEA,44.833333333333336
1961-02-15,ATL,113.5
1961-02-15,CHI,149.41666666666666
1961-02-15,FW,136.08333333333334
1961-02-15,LA,135.25
1961-02-15,NEW,145.54166666666666
1961-02-15,SEA,35.333333333333336
1961-02-16,ATL,159.91666666666666
1961-02-16,CHI,119.95833333333333
1961-02-16,FW,104.625
1961-02-16,LA,177.5
1961-02-16,NEW,77.75
1961-02-16,SEA,55.708333333333336
1961-02-17,ATL,98.45833333333333
1961-02-17,CHI,71.625
1961-02-17,FW,91.375
1961-02-17,LA,172.29166666666666
1961-02-17,NEW,92.29166666666667
1961-02-17,SEA,62.083333333333336
1961-02-18,ATL,68.04166666666667
1961-02-18,CHI,73.33333333333333
1961-02-18,FW,202
1961-02-18,LA,191.70833333333334
1961-02-18,NEW,76.70833333333333
1961-02-18,SEA,44.416666666666664
1961-02-19,ATL,62.416666666666664
1961-02-19,CHI,131.5
1961-02-19,FW,110.875
1961-02-19,LA,197.83333333333334
1961-02-19,NEW,112.70833333333333
1961-02-19,SEA,57.208333333333336
1961-02-20,ATL,67.125
1961-02-20,CHI,131.16666666666666
1961-02-20,FW,75.91666666666667
1961-02-20,LA,209.79166666666666
1961-02-20,NEW,128.41666666666666
1961-02-20,SEA,51.541666666666664
1961-02-21,ATL,64.45833333333333
1961-02-21,CHI,137.54166666666666
1961-02-21,FW,97.95833333333333
1961-02-21,LA,195.5
1961-02-21,NEW,84
1961-02-21,SEA,60.416666666666664
